cell_id,dist_costa_km,dist_ruta_maritima_km
79_35,1.5513231741583953,35.526268098483015
79_36,0.7813523284734442,45.460936438042474
79_37,2.8738774408754275,55.41224366538736
79_38,6.279446821021182,65.37264819892172
79_39,13.45755965611649,75.33859108603623
79_40,21.17154881929297,85.30817490039206
79_41,29.775363010772374,95.28029587922293
79_42,38.90941752458376,105.25426841371743
79_43,48.31148531707704,115.22964425374654
79_44,57.90783477240318,125.20611802947026
79_45,67.61585194005818,134.95109390821253
79_46,77.39357512190905,143.14042452173345
79_47,87.21760716452155,151.54475512140525
79_48,97.07392855498466,160.1302607492299
79_49,105.7032356816224,168.86933293298526
79_50,114.17857516129101,177.73934309444908
79_51,122.88042476847768,186.72165260138482
79_52,131.7639442897133,195.8008266923633
79_53,140.79477761098605,204.964012409354
79_54,149.94633600642774,214.2004464733434
79_55,159.19782536407953,223.50106528643587
79_56,168.5328126159625,232.85819491587773
79_57,177.938178742702,242.2653036818733
79_58,187.40334839333212,251.71680381566028
79_59,196.91971806629536,261.20789168470066
79_60,206.4802276931271,270.7344184389116
79_61,216.07903659318808,280.2927847525549
79_62,225.71127604799503,289.8798547379533
79_63,235.37285863091594,299.49288518567516
79_64,245.06032996153908,309.1293794810804
79_65,254.7707524588005,318.77508753470016
79_66,264.4333000561099,328.41608731253325
79_67,274.05840468649006,338.054695772297
79_68,283.70724725551725,347.6933399400013
79_69,293.36168845010457,357.33389924240373
79_70,303.0278846216807,366.99005176345634
79_71,312.71415251383684,376.6633888268149
79_72,322.41869566786863,386.35263018120634
79_73,332.1399243866805,396.0566188576346
79_74,341.87642720642776,405.7743068890315
79_75,351.62694690381227,415.5047429416906
79_76,361.3903602304852,425.2470615707514
79_77,371.1656607244921,435.00047385977433
80_0,143.5831557195739,281.5586239184835
80_1,137.2360714648884,273.5868787184749
80_2,130.5553547498101,263.69417691597204
80_3,124.2338479870643,253.8079453272948
80_4,118.41608145800606,243.92898415451944
80_5,113.17979292564632,234.05822812308273
80_6,108.43540255171357,224.19677579419061
80_7,103.72173682023677,214.34592683536042
80_8,99.00771743689448,204.50722986850067
80_9,92.40313750359559,194.68254453959634
80_10,84.70304960224972,184.8741229478451
80_11,77.52408757617452,175.0847177833783
80_12,70.93016803941845,165.31772785021803
80_13,62.22510665825861,155.57739674711416
80_14,53.834940296855905,145.8690884318432
80_15,46.08203997682747,136.1996760582831
80_16,39.34503389964074,126.57810107600844
80_17,34.22922191689266,117.01619385366796
80_18,31.29971577664368,107.52745095514179
80_19,24.10166614558,98.06407506646461
80_20,18.312511304119873,88.60069384177204
80_21,11.0694986309787,79.13730692246337
80_22,1.6696594964312221,69.673913950751
80_23,2.7516650376285914,60.210514569664724
80_24,10.042371600928266,50.74710842305191
80_25,17.748062345391553,41.292330054001845
80_26,25.78272483694848,32.07200550205451
80_27,34.6827198110302,23.480534175610096
80_28,40.929493717021785,16.529657116728366
80_29,44.92965432881242,13.939260983493952
80_30,40.79155796622875,14.965135267876647
80_31,31.55749172362972,13.960916631964167
80_32,22.750955558008457,14.938247480495821
80_33,14.277294303353864,20.734329110891746
80_34,5.180602983491144,28.91164369207242
80_35,2.9386428211426203,37.96143830042424
80_36,2.9000902799191786,47.386524935437336
80_37,5.3874136424099826,57.00110856787017
80_38,0.3996099493459708,66.72337755467728
80_39,7.457066084251569,76.51234141040422
80_40,16.75315056008149,86.34536274499666
80_41,26.502159787857277,96.20897273825355
80_42,36.37719654888896,105.29157418290781
80_43,46.297769071786185,112.99180325384746
80_44,56.2398521854561,121.02562565587618
80_45,66.19381113814907,129.33091890734008
80_46,75.55291941895867,137.85865510604353
80_47,83.58059177514059,146.57003895421906
80_48,91.94208133760698,155.43422032601555
80_49,100.59058690325315,164.42651266153482
80_50,109.46621898686193,173.52702292170733
80_51,118.51799352071141,182.71960331585686
80_52,127.70849209008111,191.9910494691954
80_53,137.00982929526572,201.3304854738757
80_54,146.40090729616696,210.7288901586616
80_55,155.86553091696382,220.17873011100957
80_56,165.39109810489637,229.6736736269503
80_57,174.9676778352731,239.2083662813027
80_58,184.58735176024715,248.7782536684819
80_59,194.2437376569524,258.37944046669213
80_60,203.93163985258968,268.008577647031
80_61,213.64678951693904,277.6554543980347
80_62,223.33316353448686,287.300581504988
80_63,232.94679739096017,296.9409665363839
80_64,242.59033777169046,306.5813932100012
80_65,252.2464809835617,316.2219320873207
80_66,261.91002983796216,325.87446384294964
80_67,271.5962072396589,335.546443455396
80_68,281.30327521559093,345.23624811008585
80_69,291.02915725752814,354.9424293727245
80_70,300.77204167167196,364.6636907037448
80_71,310.5303411607351,374.39886831631
80_72,320.3026595043598,384.1469148201061
80_73,330.08776394168626,393.9068851954798
80_74,339.88456216139303,403.67792472439777
80_75,349.6920830357086,413.4592585707525
80_76,359.50946041308276,423.25018275581596
80_77,369.33591942261893,433.0500563179966
81_0,134.9179994341012,284.9280687472531
81_1,129.59341649344097,275.08082836238157
81_2,122.89371011266141,265.2431329956703
81_3,116.2358485742603,255.41609845725998
